股票代码,股票名称,触发交易日,2-10日最高涨幅(%),2-10日最低跌幅(%),11-20日最高涨幅(%),11-20日最低跌幅(%),21-40日最高涨幅(%),21-40日最低跌幅(%),41-60日最高涨幅(%),41-60日最低跌幅(%),至今最高涨幅(%),至今最低跌幅(%)
601016.SH,节能风电,20260311,34.0,2.73,31.76,-5.46,27.05,-1.49,39.7,11.66,39.7,-5.46
601022.SH,宁波远洋,20260303,-10.59,-17.17,-16.81,-23.58,-18.59,-23.04,-20.11,-27.22,0.0,-27.22
601059.SH,信达证券,20250822,1.42,-5.83,1.67,-5.78,3.09,-6.85,3.14,-10.75,3.14,-17.55
601061.SH,中信金属,20251009,11.59,-1.26,45.31,11.59,65.7,36.71,45.8,31.5,65.7,-1.26
601083.SH,锦江航运,20260303,-10.05,-12.38,-9.61,-16.97,-3.86,-10.05,-8.96,-17.41,0.0,-17.41
601096.SH,宏盛华源,20260116,13.87,5.59,28.16,14.29,46.17,16.98,21.95,12.84,46.17,0.0
601101.SH,昊华能源,20260423,25.96,5.66,20.62,8.97,28.85,14.53,,,28.85,0.0
601106.SH,中国一重,20251208,11.97,-7.45,18.88,6.12,75.53,30.85,37.5,25.0,75.53,-7.45
601116.SH,三江购物,20250909,35.54,4.4,19.15,3.35,13.26,-6.26,30.33,6.63,61.92,-11.92
601117.SH,中国化学,20260120,2.73,-5.69,0.57,-5.46,15.36,-1.71,4.78,-2.96,15.36,-12.4
601118.SH,海南橡胶,20250724,-7.64,-10.91,-6.0,-10.55,0.18,-6.91,1.82,-6.18,51.64,-10.91
601121.SH,宝地矿业,20251110,-3.43,-14.44,-5.75,-13.22,-6.12,-15.67,8.69,-7.1,9.06,-20.69
601126.SH,四方股份,20251010,21.54,0.44,44.54,18.92,36.46,9.15,46.76,27.31,284.01,0.0
601139.SH,深圳燃气,20260303,-0.51,-10.93,0.13,-10.29,-7.88,-13.6,-11.94,-18.55,0.13,-18.55
601155.SH,新城控股,20260129,1.29,-8.07,-2.97,-11.82,-12.21,-23.53,-14.34,-23.25,1.29,-29.58
601179.SH,中国西电,20251027,38.41,2.86,37.11,3.65,25.0,5.73,108.85,18.49,162.63,-3.52
601222.SH,林洋能源,20260519,-3.51,-7.6,,,,,,,0.0,-7.6
601228.SH,广州港,20260112,5.34,-2.53,1.12,-3.65,1.69,-4.78,-1.4,-8.71,5.34,-14.33
601238.SH,广汽集团,20251124,10.65,-1.08,2.03,-2.27,2.39,-2.87,-0.12,-6.82,10.65,-27.39
601326.SH,秦港股份,20251023,1.02,-8.18,-2.81,-7.42,-7.93,-11.51,-8.44,-11.76,1.02,-16.62
601330.SH,绿色动力,20260312,21.39,-2.28,5.21,-14.55,-0.22,-14.98,8.58,-6.51,21.39,-14.98
601333.SH,广深铁路,20250829,9.97,3.12,6.85,2.8,6.54,-4.67,-3.12,-7.17,9.97,-9.03
601336.SH,新华保险,20260105,10.0,5.51,12.03,1.15,7.47,-5.64,-4.44,-21.82,12.03,-23.05
601360.SH,三六零,20251031,9.61,2.67,17.21,5.35,10.78,-12.87,15.29,-10.69,17.21,-15.62
601375.SH,中原证券,20250711,-0.86,-6.45,-1.94,-5.81,3.44,-3.87,3.44,-4.95,3.44,-16.13
601388.SH,怡球资源,20250917,-7.06,-14.42,-6.44,-11.35,3.99,-8.59,-6.13,-14.72,41.41,-14.72
601390.SH,中国中铁,20260224,4.13,-4.96,-1.82,-11.74,-9.26,-14.05,-13.39,-21.82,4.13,-22.81
601399.SH,国机重装,20250721,21.01,-2.07,0.89,-2.37,0.89,-3.55,7.99,-2.96,89.64,-4.44
601566.SH,九牧王,20251113,60.93,12.59,30.24,16.87,48.43,14.6,14.51,5.07,60.93,-11.98
601567.SH,三星电气,20260309,0.12,-14.9,-11.56,-25.07,-18.86,-39.07,-38.92,-49.46,1.58,-49.46
601595.SH,上海电影,20260210,-9.14,-26.83,-25.71,-28.2,-29.29,-36.86,-28.59,-37.9,0.0,-40.78
601611.SH,中国核建,20251010,24.09,-0.84,37.82,21.1,30.16,4.58,30.63,9.9,86.18,-0.84
601618.SH,中国中冶,20250930,5.19,-4.68,-0.78,-9.61,-8.83,-17.66,-11.95,-24.42,7.53,-27.79
601666.SH,平煤股份,20251020,-2.63,-6.81,-3.84,-8.23,-9.88,-15.04,-6.15,-13.61,0.88,-20.97
601669.SH,中国电建,20250721,33.27,15.56,15.38,10.2,13.06,1.25,4.83,-1.43,33.27,-7.69
601677.SH,明泰铝业,20260120,9.2,-3.07,0.18,-4.45,3.97,-15.51,11.0,-11.61,17.98,-15.51
601696.SH,中银证券,20250710,24.81,4.81,51.05,22.87,53.42,25.91,31.14,18.57,53.42,-3.8
601698.SH,中国卫通,20250829,-8.89,-17.04,-14.82,-18.85,-11.82,-19.25,-11.26,-20.24,112.96,-20.24
601777.SH,千里科技,20260513,2.3,-5.93,-7.41,-11.19,,,,,3.21,-11.19
601788.SH,光大证券,20250822,-2.02,-7.94,-5.92,-11.55,-7.94,-12.13,-7.56,-16.03,0.0,-32.15
601789.SH,宁波建工,20250925,-4.28,-12.03,-8.57,-11.04,-4.28,-14.5,-13.84,-19.6,23.23,-19.6
601799.SH,星宇股份,20260203,7.04,1.51,7.15,-4.41,-3.54,-16.87,-3.32,-15.17,7.15,-16.87
601800.SH,中国交建,20250722,-5.61,-10.94,-9.0,-11.13,-6.78,-14.52,-13.17,-16.26,0.0,-39.3
601808.SH,中海油服,20260224,18.99,-2.93,4.32,-6.04,-3.91,-14.1,-12.31,-22.27,18.99,-25.03
601858.SH,中国科传,20260114,-10.59,-15.32,-8.05,-16.4,0.87,-20.8,4.73,-11.62,22.04,-20.8
601866.SH,中远海发,20260303,-10.77,-13.23,-13.23,-20.31,-5.85,-18.77,-15.69,-22.46,0.0,-22.46
601868.SH,中国能建,20250721,18.04,0.39,0.78,-3.14,0.78,-6.27,-0.78,-5.88,49.02,-9.02
601872.SH,招商轮船,20250908,12.97,1.89,14.61,4.91,18.89,4.03,21.66,3.65,156.8,0.0
601877.SH,正泰电器,20250828,4.02,-2.62,3.84,-1.58,15.43,2.8,26.27,-2.98,47.74,-2.98
601888.SH,中国中免,20250724,-6.31,-8.82,-5.24,-9.05,1.19,-4.79,4.42,-3.91,37.07,-22.7
601890.SH,亚星锚链,20260213,10.49,-1.13,-1.45,-20.18,-12.91,-20.02,-11.3,-21.87,10.49,-27.2
601898.SH,中煤能源,20250722,-0.8,-6.85,-0.56,-4.78,-2.39,-11.87,9.08,-10.04,54.26,-11.87
601908.SH,京运通,20260326,-0.4,-17.5,-8.95,-16.5,-9.74,-27.63,-26.04,-27.04,0.0,-27.63
601919.SH,中远海控,20260303,-4.89,-9.25,-4.54,-11.55,-10.43,-16.32,-13.55,-17.5,0.0,-17.5
601958.SH,金钼股份,20250724,1.76,-4.51,6.12,-0.84,33.56,9.25,25.0,9.25,105.28,-4.51
601975.SH,招商南油,20260224,34.19,3.34,28.53,11.57,34.45,10.54,49.1,9.77,49.1,0.0
601991.SH,大唐发电,20260312,-2.62,-12.01,-2.18,-19.0,60.92,-16.38,88.43,50.44,88.43,-19.0
603000.SH,人民网,20260112,33.12,1.51,8.77,-0.35,13.43,-12.82,-10.32,-18.83,33.12,-24.31
603018.SH,华设集团,20250722,-6.67,-11.22,-11.22,-14.18,-11.32,-19.26,-14.6,-19.89,0.0,-25.61
603019.SH,中科曙光,20250822,11.69,-4.04,34.59,-2.04,51.52,26.46,38.23,15.42,51.52,-5.96
603025.SH,大豪科技,20250818,-1.8,-6.51,-1.63,-8.26,2.91,-7.85,19.53,-2.38,19.53,-20.81
603031.SH,安孚科技,20250813,23.97,9.76,21.55,7.62,38.35,15.95,31.86,10.59,83.96,0.0
603063.SH,禾望电气,20260415,11.36,6.84,62.66,15.38,65.26,46.36,,,65.26,-2.87
603077.SH,和邦生物,20251009,-0.87,-7.42,-1.75,-8.3,6.55,-7.86,3.06,-6.11,45.41,-8.3
603082.SH,北自科技,20260515,20.99,-15.7,,,,,,,20.99,-15.7
603093.SH,南华期货,20260513,0.51,-10.62,-6.54,-12.23,,,,,9.98,-12.23
603098.SH,森特股份,20250814,27.96,-2.05,29.86,4.66,26.38,10.58,19.67,10.19,46.05,-2.45
603100.SH,川仪股份,20251114,6.14,-2.89,-5.47,-12.51,6.53,-10.89,1.58,-3.6,6.53,-26.34
603118.SH,共进股份,20260417,-0.13,-7.91,16.6,0.99,-6.32,-15.74,,,16.6,-15.74
603122.SH,合富中国,20251030,148.31,21.01,194.16,131.57,237.19,158.43,174.16,99.66,237.19,0.0
603138.SH,海量数据,20260123,3.57,-7.69,29.6,-0.5,34.34,1.56,19.79,0.89,34.34,-10.37
603158.SH,腾龙股份,20260311,4.49,-11.35,7.43,-8.9,29.63,4.0,28.98,12.65,29.63,-11.35
603162.SH,海通发展,20251017,6.51,-5.26,10.7,-2.41,22.1,-3.74,15.86,4.99,71.66,-5.26
603169.SH,兰石重装,20251104,11.2,-7.31,8.63,-10.72,1.33,-12.62,27.42,-1.9,27.42,-25.52
603178.SH,圣龙股份,20251024,-6.25,-12.24,-10.53,-21.33,-18.79,-21.85,-15.6,-20.54,3.85,-35.97
603179.SH,新泉股份,20250902,45.31,6.6,50.57,31.94,52.88,19.63,46.03,9.56,87.44,-5.86
603181.SH,皇马科技,20250805,5.45,0.93,26.0,0.4,25.47,6.18,36.5,12.5,36.5,-8.91
603195.SH,公牛集团,20260430,-0.11,-4.59,-1.83,-7.29,,,,,0.0,-7.29
603218.SH,日月股份,20250926,4.31,-6.11,3.06,-5.21,1.6,-11.32,-7.29,-12.29,15.62,-18.13
603220.SH,中贝通信,20260226,8.86,-6.38,1.7,-11.07,26.31,-8.86,23.06,-8.97,26.31,-13.87
603222.SH,济民健康,20250814,46.42,12.72,73.58,29.26,71.85,23.09,46.3,20.25,73.58,0.0
603223.SH,恒通股份,20251204,-0.96,-19.21,-15.46,-18.78,-7.86,-19.13,-6.46,-18.25,1.14,-27.95
603259.SH,药明康德,20260428,0.64,-6.84,-5.73,-8.84,,,,,0.64,-8.84
603278.SH,大业股份,20251226,38.44,21.02,12.19,-2.66,0.63,-9.77,-7.11,-19.53,38.44,-19.53
603290.SH,斯达半导,20250828,1.55,-7.06,4.59,-2.67,7.55,-4.48,-4.56,-13.95,32.36,-13.95
603316.SH,诚邦股份,20260507,44.41,-2.07,42.55,6.94,,,,,44.41,-2.07
603318.SH,水发燃气,20260302,20.98,-3.63,-4.08,-10.54,56.24,-16.1,64.97,0.91,64.97,-16.1
603363.SH,傲农生物,20250827,13.57,0.0,32.17,8.32,20.79,5.03,26.91,5.91,32.17,-30.63
603367.SH,辰欣药业,20250721,78.48,13.14,88.02,66.61,88.85,17.03,29.06,10.04,88.85,-23.96
603381.SH,永臻股份,20250829,-3.75,-10.28,0.75,-5.93,-5.14,-16.64,-12.89,-19.05,23.48,-22.53
603390.SH,通达电气,20260424,-2.81,-8.56,2.4,-8.01,-8.49,-13.7,,,2.4,-13.7
603393.SH,新天然气,20260302,14.22,1.07,13.39,0.91,-3.98,-13.02,-9.12,-29.06,14.22,-29.06
603466.SH,风语筑,20260213,11.04,-10.45,-7.28,-24.23,-13.87,-23.03,-4.28,-17.98,11.04,-24.23
603528.SH,多伦科技,20251216,3.17,-3.84,9.32,-7.11,3.84,-8.93,-5.67,-21.33,9.32,-32.37
603556.SH,海兴电力,20251029,10.65,-3.82,3.99,-5.98,0.6,-5.72,18.6,-1.57,21.79,-23.41
603596.SH,伯特利,20260106,0.35,-3.19,3.14,-12.6,-2.77,-13.64,-13.0,-23.88,3.14,-46.38
603598.SH,引力传媒,20260106,57.59,14.64,45.91,22.76,52.24,0.68,3.36,-10.36,57.59,-10.36
603599.SH,广信股份,20260128,16.32,7.1,10.29,1.35,11.92,-7.17,7.67,-3.97,16.32,-21.29
603629.SH,利通电子,20251103,3.36,-7.3,-7.54,-16.6,-3.9,-12.67,17.66,-9.51,717.42,-16.6
603636.SH,南威软件,20251124,0.69,-9.14,0.07,-17.66,-7.27,-19.81,-16.07,-23.96,0.69,-39.27
603650.SH,彤程新材,20250924,15.35,0.89,5.34,-3.01,5.44,-10.08,18.65,-4.67,54.75,-10.08
603659.SH,璞泰来,20250829,23.1,3.21,24.93,17.8,37.91,16.5,41.03,15.3,67.8,0.0
603668.SH,天马科技,20250826,-1.35,-6.59,6.66,-4.17,10.5,-9.15,12.18,-7.27,28.94,-28.06
603688.SH,石英股份,20260212,12.89,1.58,14.49,-7.92,9.54,-13.29,60.5,9.65,60.5,-13.29
603693.SH,江苏新能,20260312,20.69,-6.36,6.03,-12.58,8.95,-9.34,22.83,-3.11,22.83,-12.58
603698.SH,航天工程,20251208,18.8,-1.86,78.45,30.67,104.48,41.95,72.79,35.74,104.48,-3.42
603708.SH,家家悦,20260112,1.35,-3.37,1.35,-3.37,-0.37,-14.38,-12.51,-23.52,1.35,-28.16
603712.SH,七一二,20250807,-2.73,-9.76,-5.61,-16.67,-12.37,-17.94,-12.41,-23.11,0.0,-41.92
603738.SH,泰晶科技,20251208,-2.97,-11.64,-6.29,-11.29,-0.7,-6.64,39.46,-7.92,223.52,-11.64
603777.SH,来伊份,20260410,1.65,-11.02,20.57,-9.25,24.04,6.07,,,24.04,-11.02
603786.SH,科博达,20250916,55.64,16.46,44.55,20.66,19.08,1.21,6.76,0.86,55.64,-30.18
603806.SH,福斯特,20260123,15.54,-1.79,12.65,2.6,12.88,-1.16,9.19,-2.66,15.54,-7.97
603809.SH,豪能股份,20250917,-3.56,-13.59,-9.75,-24.83,-22.08,-32.11,-23.17,-32.51,0.0,-40.83
603882.SH,金域医学,20260109,9.89,-3.74,-1.99,-8.17,-4.58,-17.23,-17.2,-25.79,10.01,-25.79
603888.SH,新华网,20260113,8.4,-12.19,1.19,-11.93,-7.88,-22.93,-22.33,-29.02,10.0,-32.14
603897.SH,长城科技,20260302,3.47,-6.02,-0.98,-13.09,53.83,-7.09,71.39,41.25,71.39,-13.09
603919.SH,金徽酒,20260202,0.17,-12.84,-10.34,-19.52,-16.31,-27.86,-19.81,-26.94,3.67,-27.86
603931.SH,格林达,20251127,14.96,-1.7,10.64,-5.81,4.52,-10.07,-1.01,-12.37,84.12,-25.14
603960.SH,克来机电,20260210,12.95,2.69,12.02,-12.51,-0.04,-23.99,1.51,-10.02,12.95,-23.99
603977.SH,国泰集团,20251117,-3.52,-15.07,-11.27,-15.56,10.07,-13.59,12.18,0.0,19.72,-15.56
603986.SH,兆易创新,20250822,16.65,2.05,26.55,4.16,61.18,26.07,63.67,18.76,248.77,0.0
605007.SH,五洲特纸,20251226,-11.4,-15.05,-12.56,-16.14,12.11,-14.16,12.88,-14.73,12.88,-16.14
605020.SH,永和股份,20260514,8.41,-1.01,4.44,4.44,,,,,8.41,-1.01
605111.SH,新洁能,20251015,1.74,-9.52,-1.69,-10.07,-4.93,-15.85,-6.93,-18.61,73.19,-18.61
605116.SH,奥锐特,20260109,12.19,0.98,-0.1,-13.13,-11.63,-19.65,1.3,-20.56,12.19,-36.01
605123.SH,派克新材,20251212,15.32,-4.15,45.04,17.04,44.83,21.02,33.54,16.01,45.04,-4.15
605167.SH,利柏特,20251223,18.39,-1.36,32.54,12.57,37.5,24.57,33.91,17.74,42.17,-1.94
605222.SH,起帆电缆,20260114,6.49,-6.35,0.09,-5.09,7.61,-2.89,32.52,-9.94,95.19,-9.94
605299.SH,舒华体育,20251204,33.22,-2.63,3.74,-3.23,10.79,-6.63,8.33,-1.78,130.5,-6.63
605358.SH,立昂微,20250923,20.97,6.99,20.37,3.16,20.17,-5.26,24.2,-3.06,96.7,-5.26
688001.SH,华兴源创,20260311,-6.34,-21.28,17.01,-15.78,78.44,11.14,130.52,59.59,130.52,-21.28
688012.SH,中微公司,20250828,-1.02,-13.35,28.82,-6.2,41.51,16.15,40.32,17.83,117.44,-13.35
688032.SH,禾迈股份,20260320,2.62,-16.32,-11.86,-15.6,-12.75,-20.15,-18.62,-28.31,2.62,-28.31
688041.SH,海光信息,20250822,12.31,-6.87,32.22,-6.21,44.0,22.33,32.67,10.88,87.68,-6.87
688047.SH,龙芯中科,20260112,19.0,-10.74,11.83,-5.06,-0.92,-12.52,-9.14,-21.8,19.0,-21.8
688065.SH,凯赛生物,20260113,-6.04,-10.11,-5.93,-13.83,-9.08,-16.93,-17.67,-23.51,0.0,-35.38
688090.SH,瑞松科技,20251229,2.77,-8.67,3.39,-6.96,18.48,-3.06,25.81,-3.49,93.7,-8.67
688106.SH,金宏气体,20251009,1.64,-6.92,-3.37,-6.31,2.62,-13.33,-5.1,-12.49,91.3,-13.33
688111.SH,金山办公,20260112,-3.14,-12.26,-7.1,-20.1,-17.34,-29.46,-29.4,-40.21,0.0,-40.21
688114.SH,华大智造,20260109,3.44,-13.65,-9.23,-13.16,-8.39,-28.28,-28.12,-36.2,5.04,-36.44
688126.SH,沪硅产业,20250923,20.94,6.06,9.29,1.39,3.57,-12.78,-5.68,-14.47,28.72,-30.15
688146.SH,中船特气,20250806,36.15,5.52,31.41,20.33,39.39,18.03,48.13,18.03,430.08,-1.67
688153.SH,唯捷创芯,20260112,-8.38,-11.57,-8.07,-18.25,-12.88,-23.26,-19.99,-28.98,0.0,-35.18
688173.SH,希荻微,20251128,-0.34,-13.62,-13.9,-19.28,-1.6,-15.9,0.86,-15.1,11.44,-24.94
688179.SH,阿拉丁,20260116,8.75,-0.62,2.84,-2.28,22.69,-4.07,16.77,0.12,48.58,-4.07
688186.SH,广大特材,20251009,1.46,-17.29,-11.66,-16.92,-16.99,-29.06,-19.84,-26.82,2.48,-36.52
688187.SH,时代电气,20251009,1.99,-3.66,1.35,-11.63,-6.24,-14.79,-9.78,-14.46,10.11,-14.83
688209.SH,英集芯,20260120,1.59,-3.25,-0.79,-8.09,-7.77,-23.59,-9.16,-22.92,7.02,-23.59
688223.SH,晶科能源,20260123,21.74,-10.43,23.77,6.67,21.45,2.17,3.48,-10.14,23.77,-15.07
688232.SH,新点软件,20260112,3.18,-5.58,-5.27,-12.99,-9.19,-25.52,-23.47,-35.31,3.18,-38.58
688235.SH,百济神州,20250829,17.29,9.78,15.11,8.58,10.4,-1.56,9.56,-2.77,17.29,-22.48
688268.SH,华特气体,20250813,-1.55,-7.43,-5.59,-13.73,23.55,-11.51,9.68,-2.85,233.39,-13.73
688271.SH,联影医疗,20250908,-2.09,-7.81,-0.47,-9.1,-6.28,-13.46,-11.64,-18.69,0.0,-30.76
688281.SH,华秦科技,20260109,18.3,-3.66,12.41,1.16,9.49,-12.12,-12.94,-24.55,18.3,-24.55
688320.SH,禾川科技,20260515,-1.71,-13.81,,,,,,,0.0,-13.81
688334.SH,西高院,20260116,3.71,-2.79,0.36,-5.19,2.71,-18.28,-11.17,-17.32,9.06,-22.94
688337.SH,普源精电,20251030,-9.23,-16.16,-16.79,-24.28,-19.81,-24.66,-11.54,-22.58,43.0,-24.66
688339.SH,亿华通-U,20250918,17.34,-2.24,6.66,-2.64,29.62,4.85,19.12,-1.09,29.62,-20.82
688352.SH,颀中科技,20250929,1.03,-11.89,0.0,-10.66,-6.22,-16.47,-11.35,-15.65,33.15,-18.87
688385.SH,复旦微电,20250828,-4.7,-17.85,-2.4,-9.02,2.37,-11.6,-2.26,-15.39,50.51,-17.85
688387.SH,信科移动-U,20250825,0.98,-13.32,-6.59,-11.64,0.14,-10.94,-0.98,-9.4,214.87,-13.32
688390.SH,固德威,20250813,-1.57,-6.46,15.16,-1.38,27.34,5.79,28.35,2.87,193.64,-6.46
688396.SH,华润微,20260116,-0.01,-6.88,-8.78,-13.96,-12.3,-34.19,-24.27,-35.78,2.35,-35.78
688408.SH,中信博,20251114,-4.93,-15.34,-15.91,-19.37,-12.37,-21.51,-1.01,-18.66,0.0,-36.18
688409.SH,富创精密,20250804,-1.94,-6.18,17.25,-2.74,19.54,-3.94,44.94,12.87,200.05,-6.18
688432.SH,有研硅,20260225,-0.56,-14.02,-12.73,-23.2,-11.6,-24.72,20.27,-13.57,20.27,-24.72
688472.SH,阿特斯,20250905,8.68,-2.34,16.78,-5.93,84.39,-0.75,100.33,28.38,100.33,-5.93
688486.SH,龙迅股份,20251118,-7.65,-15.85,-4.6,-13.19,5.18,-14.16,1.75,-8.26,13.21,-28.86
688505.SH,复旦张江,20250717,8.91,-0.59,7.25,0.29,4.6,-6.27,-5.09,-12.44,8.91,-29.87
688515.SH,裕太微-U,20250901,-0.95,-11.89,2.55,-3.49,3.15,-10.58,-8.81,-19.98,102.17,-19.98
688545.SH,兴福电子,20250813,3.29,-2.43,3.35,-10.27,22.46,-7.42,14.57,1.72,178.64,-10.27
688549.SH,中巨芯-U,20260428,45.49,6.5,61.35,24.35,,,,,61.35,-3.73
688553.SH,汇宇制药-W,20250704,6.78,-8.6,8.36,-0.96,31.92,1.82,22.84,6.55,31.92,-27.38
688562.SH,航天软件,20251215,6.76,-11.72,30.38,2.33,8.56,-3.51,-1.23,-14.09,30.38,-24.76
688563.SH,航材股份,20260112,1.35,-11.35,8.12,-2.19,12.07,-9.4,-8.34,-16.29,12.07,-23.68
688586.SH,江航装备,20260109,1.03,-8.18,6.44,-10.82,6.77,-11.28,-1.93,-16.82,17.01,-17.27
688601.SH,力芯微,20251125,-1.2,-8.28,-7.94,-16.84,3.4,-14.82,13.08,0.64,37.0,-16.84
688605.SH,先锋精科,20250930,9.03,-12.02,-7.64,-15.23,-13.49,-23.46,-7.86,-22.0,13.84,-25.01
688612.SH,威迈斯,20260522,-0.03,-9.38,,,,,,,0.0,-9.38
688639.SH,华恒生物,20260113,-5.9,-11.01,-9.99,-15.19,-12.63,-24.7,-21.24,-33.09,0.0,-43.23
688653.SH,康希通信,20251009,-3.98,-15.14,-9.63,-16.8,-16.53,-24.7,-16.0,-20.39,9.43,-24.7
688777.SH,中控技术,20260113,34.63,0.71,45.41,31.59,32.57,11.51,10.65,-1.19,45.41,-1.19
688783.SH,西安奕材-U,20260508,16.11,6.29,23.74,2.41,,,,,23.74,0.0
688981.SH,中芯国际,20250822,14.67,-2.92,30.83,5.59,34.78,15.3,20.08,7.25,50.04,-11.72
